Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
10-04-2023,32.0,16,9.0,16,25,85,66,12,50.0,20
11-04-2023,33.0,16,9.0,16,25,85,60,12,40.0,20
12-04-2023,33.0,16,9.0,16,25,85,70,12,40.0,30
13-04-2023,32.0,16,10.0,16,25,85,70,12,40.0,40
14-04-2023,27.0,16,9.0,15,20,80,60,14,0.13,40
16-04-2023,32.0,16,10.0,16,20,80,65,15,35.0,20
17-04-2023,31.0,16,9.5,16,25,85,70,14,50.0,40
18-04-2023,32.0,16,9.0,15,20,85,70,14,50.0,30
19-04-2023,32.0,16,9.0,16,25,85,65,14,35.0,20
21-04-2023,27.0,16,9.0,16,25,85,70,15,40.0,25
23-04-2023,28.0,16,9.0,15,25,90,60,15,30.0,20
24-04-2023,30.0,16,9.0,16,30,85,70,12,30.0,20
25-04-2023,25.0,16,8.5,16,20,90,70,15,40.0,18
26-04-2023,27.0,16,8.0,16,20,90,80,16,30.0,40
27-04-2023,25.0,16,8.0,16,25,90,80,15,30.0,30
28-04-2023,22.5,16,8.0,16,25,90,80,15,30.0,25
30-04-2023,20.0,16,8.5,16,25,90,80,15,30.0,25
02-05-2023,24.0,16,10.0,20,20,90,80,12,40.0,15
03-05-2023,28.5,16,8.5,20,25,90,70,12,32.0,25
04-05-2023,28.5,16,11.0,20,20,90,70,10,30.0,30
05-05-2023,24.5,16,11.0,20,20,90,70,8,32.0,30
07-05-2023,24.5,16,10.0,20,25,90,70,10,30.0,15
08-05-2023,22.0,16,10.0,20,20,90,70,10,35.0,30
09-05-2023,20.0,16,10.0,20,20,90,60,10,40.0,30
10-05-2023,20.0,16,10.0,20,20,90,60,10,35.0,25
11-05-2023,22.0,16,10.0,20,25,90,60,10,35.0,15
12-05-2023,25.0,16,12.0,20,20,90,60,10,30.0,25
14-05-2023,20.0,16,10.5,22,25,90,60,10,30.0,20
15-05-2023,27.0,16,10.0,22,25,90,60,15,30.0,20
16-05-2023,20.0,16,10.0,21,25,90,70,12,30.0,20
17-05-2023,22.0,16,10.0,21,25,95,60,15,45.0,25
18-05-2023,20.0,16,11.0,21,25,95,55,15,50.0,25
19-05-2023,22.0,16,12.0,22,30,95,60,16,50.0,25
21-05-2023,20.0,16,10.0,16,25,95,60,15,40.0,25
23-05-2023,21.0,16,11.0,21,25,95,60,12,50.0,25
24-05-2023,22.0,16,10.0,22,25,95,60,12,40.0,25
25-05-2023,17.5,16,10.0,19,25,95,60,12,40.0,30
26-05-2023,17.5,16,11.0,21,25,95,60,10,40.0,30
28-05-2023,17.5,16,12.0,21,30,95,60,10,40.0,30
29-05-2023,17.5,16,12.0,19,30,95,60,10,35.0,20
30-05-2023,20.0,16,13.0,20,30,90,60,10,40.0,30
31-05-2023,17.5,16,12.0,20,25,95,60,12,40.0,25
01-06-2023,17.5,16,12.0,19,25,95,50,12,40.0,20
02-06-2023,20.0,16,12.0,20,25,95,60,20,40.0,50
04-06-2023,20.0,16,12.0,20,30,95,50,10,50.0,22
05-06-2023,21.0,16,13.0,20,30,95,50,15,50.0,25
06-06-2023,22.0,16,13.0,20,35,95,60,16,60.0,25
07-06-2023,20.0,16,14.0,20,30,95,60,14,45.0,25
08-06-2023,21.0,16,14.0,20,30,95,60,15,50.0,25
11-06-2023,20.0,16,15.0,20,30,95,55,16,50.0,25
12-06-2023,25.0,16,13.0,20,35,95,60,15,50.0,30
13-06-2023,22.0,16,15.0,20,35,95,60,12,50.0,25
14-06-2023,27.5,16,14.0,20,35,95,60,15,40.0,25
15-06-2023,24.5,16,14.0,20,40,95,60,15,70.0,25
16-06-2023,24.5,16,13.0,21,40,95,55,15,65.0,25
18-06-2023,27.0,16,14.0,20,25,95,60,16,50.0,15
19-06-2023,27.0,16,14.0,20,40,95,70,20,60.0,25
20-06-2023,27.0,16,14.0,21,35,95,70,20,60.0,25
21-06-2023,27.0,16,14.0,21,35,95,70,16,50.0,25
22-06-2023,27.0,16,14.0,21,35,95,70,16,50.0,30
23-06-2023,27.0,16,14.0,21,35,95,80,20,60.0,25
25-06-2023,24.5,16,13.0,21,35,95,70,16,60.0,25
26-06-2023,22.0,16,13.0,21,35,95,80,18,60.0,15
27-06-2023,27.0,16,14.0,20,30,95,80,16,60.0,25
28-06-2023,20.0,16,15.0,21,35,120,70,15,70.0,25
29-06-2023,20.0,16,15.0,20,30,120,70,16,70.0,25
30-06-2023,20.0,16,15.0,20,30,120,80,20,70.0,12
02-07-2023,27.0,16,16.0,12,30,120,80,22,80.0,12
03-07-2023,22.0,16,17.0,20,30,120,80,22,70.0,25
04-07-2023,27.0,16,16.0,21,30,120,70,20,60.0,30
05-07-2023,22.0,16,16.0,21,35,120,70,20,90.0,25
06-07-2023,22.0,16,17.0,20,35,120,80,25,80.0,25
07-07-2023,25.0,16,17.0,20,30,120,80,20,90.0,20
09-07-2023,27.0,16,17.0,21,30,140,80,20,80.0,35
11-07-2023,27.0,16,17.0,20,30,140,80,2000,80.0,30
12-07-2023,22.5,16,17.0,20,35,140,100,18,70.0,25
13-07-2023,27.5,16,16.0,20,30,160,110,18,75.0,30
14-07-2023,20.0,16,16.0,20,35,160,120,18,70.0,40
16-07-2023,20.0,16,17.0,20,35,160,100,16,70.0,25
17-07-2023,20.0,16,16.0,17,30,165,80,16,70.0,40
18-07-2023,25.0,16,18.0,14,35,165,150,14,70.0,30
19-07-2023,27.0,16,17.0,20,35,140,120,12,90.0,30
20-07-2023,25.0,16,17.0,20,30,165,110,20,80.0,30
21-07-2023,20.0,16,17.0,20,35,165,120,12,80.0,30
23-07-2023,27.0,16,18.0,20,35,165,120,10,80.0,35
24-07-2023,27.0,16,16.0,21,40,140,120,7,70.0,50
25-07-2023,25.0,16,16.0,21,35,140,120,7,70.0,25
26-07-2023,27.0,16,16.0,21,40,140,130,8,60.0,30
27-07-2023,27.0,16,16.0,21,40,140,130,8,60.0,40
28-07-2023,30.0,16,16.0,21,35,140,120,10,60.0,30
30-07-2023,30.0,16,16.0,21,40,140,150,8,70.0,40
31-07-2023,30.0,16,16.0,21,40,160,120,7,50.0,35
01-08-2023,32.0,16,17.0,21,35,160,100,8,50.0,32
02-08-2023,35.0,16,18.0,21,35,160,100,7,50.0,40
03-08-2023,25.0,16,17.0,21,40,160,150,8,50.0,30
04-08-2023,27.0,16,16.0,21,40,160,120,7,50.0,30
06-08-2023,30.0,16,17.0,20,40,160,120,8,40.0,40
07-08-2023,25.0,16,16.0,21,40,160,130,8,40.0,40
